Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text
1-6H,"Garden Gnome","Sterling silver garden gnome.  Made by Zable",Zable,Bead,"Nature, Garden,Zable",TRUE,Material,"Sterling Silver",,,,,1-6H,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-6H.jpg,"Garden Gnome"
1-6I,"'Forest Fairy'","Sterling silver 'forest fairy'.  Made by Ohm",Ohm,Bead,"Nature, Garden,Ohm",TRUE,Material,"Sterling Silver",,,,,1-6I,6,shopify,2,deny,manual,30,30,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-6I.jpg,"'Forest Fairy'"
1-6J,"Garden Fairy","Sterling silver garden fairy.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-6J,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-6J.jpg,"Garden Fairy"
1-7A,"Garden Fairy, Side View","Sterling silver garden fairy, side view.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-7A,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-7A.jpg,"Garden Fairy, Side View"
1-7B,"Dragonfly & Flowers","Sterling silver dragonfly & flowers.  Made by Zable",Zable,Bead,"Nature, Garden,Zable",TRUE,Material,"Sterling Silver",,,,,1-7B,6,shopify,6,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-7B.jpg,"Dragonfly & Flowers"
1-7C,"Penguin ","Sterling silver penguin .  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Animals,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-7C,6,shopify,3,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-7C.jpg,"Penguin "
1-7D,"Owl","Sterling silver owl.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Animals,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-7D,6,shopify,2,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-7D.jpg,"Owl"
1-7E,"Cartoon Duck","Sterling silver cartoon duck.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Animals,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-7E,6,shopify,3,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-7E.jpg,"Cartoon Duck"
1-7F,"Rooster","Sterling silver rooster.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Animals,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-7F,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-7F.jpg,"Rooster"
1-7G,"'Wishing Well'","Sterling silver 'wishing well'.  Made by Ohm",Ohm,Bead,"Nature, Garden,Ohm",TRUE,Material,"Sterling Silver",,,,,1-7G,6,shopify,3,deny,manual,40,40,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-7G.jpg,"'Wishing Well'"
1-7H,"Flower With Red Cubic Zirconia","Sterling silver & cubic zirconia flower with red cubic zirconia.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden, Cubic Zirconia,Carlo Biagi",TRUE,Material,"Sterling Silver & Cubic Zirconia",,,,,1-7H,6,shopify,2,deny,manual,28.8,48,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-7H.jpg,"Flower With Red Cubic Zirconia"
1-7I,"Flower With Purple Cubic Zirconia","Sterling silver & cubic zirconia flower with purple cubic zirconia.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden, Cubic Zirconia,Carlo Biagi",TRUE,Material,"Sterling Silver & Cubic Zirconia",,,,,1-7I,6,shopify,3,deny,manual,28.8,48,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-7I.jpg,"Flower With Purple Cubic Zirconia"
1-7J,"Daisy With Red Cubic Zirconia","Sterling silver & cubic zirconia daisy with red cubic zirconia.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden, Cubic Zirconia,Carlo Biagi",TRUE,Material,"Sterling Silver & Cubic Zirconia",,,,,1-7J,6,shopify,1,deny,manual,28.8,48,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-7J.jpg,"Daisy With Red Cubic Zirconia"
2-1A,"Daisy With Clear Cubic Zirconia","Sterling silver & cubic zirconia daisy with clear cubic zirconia.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden, Cubic Zirconia,Carlo Biagi",TRUE,Material,"Sterling Silver & Cubic Zirconia",,,,,2-1A,6,shopify,1,deny,manual,28.8,48,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/2-1A.jpg,"Daisy With Clear Cubic Zirconia"
2-1B,"Flower Block With Clear Cubic Zirconia","Sterling silver & cubic zirconia flower block with clear cubic zirconia.  Made by Halia",Halia,Bead,"Nature, Garden, Cubic Zirconia,Halia",TRUE,Material,"Sterling Silver & Cubic Zirconia",,,,,2-1B,6,shopify,2,deny,manual,28.8,48,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/2-1B.jpg,"Flower Block With Clear Cubic Zirconia"
2-1C,"Lacy Flowers With Clear Cubic Zirconia","Sterling silver & cubic zirconia lacy flowers with clear cubic zirconia.  Made by Halia",Halia,Bead,"Nature, Garden, Cubic Zirconia,Halia",TRUE,Material,"Sterling Silver & Cubic Zirconia",,,,,2-1C,6,shopify,1,deny,manual,28.8,48,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/2-1C.jpg,"Lacy Flowers With Clear Cubic Zirconia"
