Grid	Row Number	Column Letter	Quantitiy	Price	Retail Price	Brand	Description	Material	Tags
4	6	H	1	28.8	48	Halia	decorative rope design with clear and aqua blue CZs	sterling silver & cubic zirconia	decorative
4	6	I	1	28.8	48	Halia	decorative barrel with clear CZs	sterling silver & cubic zirconia	decorative
4	6	J	2	28.8	48	Ohm	decorative twist wtih clear CZs	sterling silver & cubic zirconia	decorative
4	7	A	5	37.2	62	Chamilia	decorative with clear CZs, "Royal"	sterling silver & cubic zirconia	decorative
4	7	B	2	37.2	62	Chamilia	decorative with clear and pink CZs, "Circle & Square"	sterling silver & cubic zirconia	decorative
4	7	C	2	37.2	62	Chamilia	decorative with aqua blue CZs, "Cat eyes"	sterling silver & cubic zirconia	decorative
4	7	D	1	37.2	62	Chamilia	decoraive with clear and aqua blue CZs, "Circle & square"	sterling silver & cubic zirconia	decorative
4	7	E	1	28.8	48	Chamilia	decorative ring with pink CZs, "Pink balls"	sterling silver & cubic zirconia	decorative
4	7	F	1	37.2	62	Chamilia	decorative diamond with round pink CZs	sterling silver & cubic zirconia	decorative
4	7	G	2	37.2	62	Chamilia	decorative diamond with round clear CZs	sterling silver & cubic zirconia	decorative
4	7	H	1	37.2	62	Chamilia	decorative diamond with round aqua blue CZs	sterling silver & cubic zirconia	decorative
4	7	I	1	28.8	48	Carlo Biagi	decorative zigzag with pink and clear CZs	sterling silver & cubic zirconia	decorative
4	7	J	2	28.8	48	Carlo Biagi	decorative zigzag with red CZs	sterling silver & cubic zirconia	decorative
5	1	A	2	28.8	48	Carlo Biagi	decorative zigzag with black CZs	sterling silver & cubic zirconia	decorative
5	1	B	1	28.8	48	Carlo Biagi	decorative bullseye with pink CZs	sterling silver & cubic zirconia	decorative
5	1	C	1	28.8	48	Carlo Biagi	decorative 3 sided rope design with clear CZs	sterling silver & cubic zirconia	decorative
5	1	D	1	28.8	48	Carlo Biagi	decorative triple ring with red, pink and clear CZs	sterling silver & cubic zirconia	decorative
5	1	E	1	28.8	48	Carlo Biagi	decorative triple ring with pink CZs	sterling silver & cubic zirconia	decorative
5	1	F	2	28.8	48	Carlo Biagi	decorative triple ring with clear and pink CZs	sterling silver & cubic zirconia	decorative
5	1	G	2	28.8	48	Carlo Biagi	decorative spiral knot with pink CZs	sterling silver & cubic zirconia	decorative
5	1	H	1	28.8	48	Carlo Biagi	decorative spiral knot with clear CZs	sterling silver & cubic zirconia	decorative
5	1	I	1	28.8	48	Carlo Biagi	decorative spiral knot with clear CZs	sterling silver & cubic zirconia	decorative
5	1	J	2	28.8	48	Carlo Biagi	decorative criss cross ball with clear CZs	sterling silver & cubic zirconia	decorative
5	2	A	1	28.8	48	Halia	decorative with clear CZs, "Wishful Thinking"	sterling silver & cubic zirconia	decorative
5	2	B	1	28.8	48	Halia	decorative with pink CZs, "Pink Wishful Thinking"	sterling silver & cubic zirconia	decorative
5	2	C	2	28.8	48	Halia	decorative cylinder with clear CZs,  "Determination"	sterling silver & cubic zirconia	decorative
5	2	D	1	43.2	72	Chamilia	decorative rope design with clear CZs, "Rope"	sterling silver & cubic zirconia	decorative
5	2	E	1	28.8	48	Chamilia	decorative with light green CZs, "Celtic Knot"	sterling silver & cubic zirconia	decorative
5	2	F	2	28.8	48	Chamilia	decorative with clear CZs, "Flower Gem"	sterling silver & cubic zirconia	decorative
5	2	G	1	28.8	48	Carlo Biagi	decorative ball with silver band and clear CZs	sterling silver & cubic zirconia	decorative
5	2	H	1	34.2	58	Carlo Biagi	decorative barrel with ring of clear CZs	sterling silver & cubic zirconia	decorative
5	2	I	1	28.8	48	Carlo Biagi	decorative ball with lines and circles, clear CZs	sterling silver & cubic zirconia	decorative
5	2	J	1	28.8	48	Carlo Biagi	decorative swirly ball with clear CZs	sterling silver & cubic zirconia	decorative
5	3	A	1	28.8	48	Carlo Biagi	decorative diver bell with clear CZs	sterling silver & cubic zirconia	decorative
5	3	B	1	28.8	48	Carlo Biagi	decoartive flower with clear CZs	sterling silver & cubic zirconia	decorative
5	3	C	1	22.8	38	Halia	decorative cylinder with clear CZs,  "Charmed, I'm Sure"	sterling silver & cubic zirconia	decorative
5	3	D	2	28.8	48	Halia	decorative barrel with clear CZ ring, "Dazzling Smile"	sterling silver & cubic zirconia	decorative
5	3	E	1	28.8	48	Halia	decorative square with clear CZs, "Modern Woman"	sterling silver & cubic zirconia	decorative
5	3	F	1	31.8	53	Chamilia	decorative knot with Umber swarovski, "Regale"	sterling silver & swarovski	decorative
5	3	G	2	31.8	53	Chamilia	decorative knot with verde green swarovski, "Regale"	sterling silver & swarovski	decorative
5	3	H	1		*	Chyopia	decorative double row yellow CZs	sterling silver & cubic zirconia	decorative
